abandon,버리다
gorgeous,호화로운
govern,다스리다
grab,붙잡다(=snatch)
grace,은총
grade,등급
gradual,점차적인
graduate,학위를 수여하다
grain,곡물
grand,위대한
grant,받아들이다
graphic,그려 놓은 듯한
grasp,붙잡다
grateful,고맙게 생각하는
grave,무덤
greed,탐욕
greet,인사하다
grief,심한 슬픔(deep sorrow)
grip,잡기
grocery,식품잡화류
gross,총계의
guarantee,보증하다
guardian,보호자
guest,손님
guideline,지침
guilty,죄지은
gulf,만
gun,총
gymnasium,실내체조장
habitat,(동물의)자연번식지
half,반
hall,회관
halt,멈춰서다
hammer,망치
handicap,불리한 조건
handle,손잡이
happen,(사건 등이)일어나다
harbor,항구
hardly,거의 -아니다
harm,해
harsh,거친
harvest,수확
haste,급함
haunt,자주가다
hazard,위험
headquarters,본부
heal,고치다
health,건강
hear,듣다
heel,발뒤꿈치
height,높이
heir,상속인
hell,지옥
hence,그러므로
heritage,세습 재산
hesitate,주저하다
hide,감추다
highway,대도
hip,엉덩이
hire,고용하다
hole,구멍
holy,신성한
honor,명예
hook,갈고리
horizon,지평선
horn,뿔
horror,공포
host,"주인, 집주인 노릇, 호스트"
hostage,볼모
hostile,반대하는
household,가족
hug,꼭 껴안다
huge,거대한
hurt,상처내다
hut,오두막
hypothesis,가설
ideal,이상
identical,아주 동일한
identify,동일시하다
ideology,공리
ignore,무시하다
ill,병든
illusion,환영
illustrate,설명하다
imagine,상상하다
imitate,흉내내다
immediate,직접의
immense,무한한
immigrate,이주하다
immune,면역성의
impact,충격
imperial,제국의
implement,기구
imply,함축하다
import,수입하다
impose,부과하다
impress,인상지우다
improve,개선하다
incentive,자극적인
incident,사건
incline,기울이다
include,포함하다
income,수입
incorporate,합동시키다
increase,늘다
incredible,믿을 수 없는
indeed,참으로
independent,독립한
index,색인
indicate,지적하다
individual,개인
induce,꾀다
industry,공업
inevitable,피할 수 없는
infant,유아
infect,감염시키다
infer,추론하다
inflate,부풀게 하다
influence,영향력
inform,알리다
informal,비공식의
ingredient,성분
inhabit,살다
inherent,생태의
inhibit,금하다
initial,처음의
initiate,시작하다
inject,주사하다
injure,해치다
inn,여인숙
innocent,무구한
innovate,새롭게 하다
input,투입
inquire,묻다
insect,곤충
insert,끼워넣다
insight,통찰(력)
insist,주장하다
inspect,검사하다
inspire,영감을 주다
install,설치하다
instance,실례
instant,즉시의
instead,그 대신에
instinct,본능
institute,만들다
instruct,가르치다
instrument,기구
insult,모욕하다
insure,보증하다
integrate,통합하다
intellectual,지적인
intelligent,지적인
intend,~할 작정이다
intense,강렬한
intent,의향
interact,서로 작용하다
interest,흥미
interfere,간섭하다
intermediate,중간의 중간물
internal,내부의
international,국제적인
interpret,해석하다
interrupt,훼방놓다
interval,간격
intervene,사이에 들다
intimate,친밀한
intrigue,음모
invade,침입하다
invent,발명하다
invest,투자하다
investigate,조사하다
involve,말아넣다
iron,쇠
irony,반어
irritate,노하게 하다
island,섬
isolate,고립시키다
item,조항
jail,교도소
jar,(아가리가 넓은)항아리
jaw,턱
jet,(가스등의)분출
jog,살짝 밀다 덜커덕 움직이다 고르지 않음
joint,이음매
joke,농담
journal,일간신문
journey,여행
judge,재판관
judicial,사법의
junior,손아래사람
jury,배심
justice,정의
justify,옳다고 하다
keen,날카로운
kit,연장통
knee,무릎
knight,(중세의)기사
knock,치다
knot,매듭(=tie)
label,라벨
labor,노동
laboratory,실험실
lack,결핍
ladder,사닥다리
lamb,어린 양
lamp,등
landscape,풍경
lane,좁은길
language,언어
lap,무릎
latter,뒤쪽의
laugh,(소리내어)웃다
launch,진수시키다
laundry,세탁물
law,법률
lawn,잔디밭
lawyer,법률가
lay,눕히다
layer,층
lead,이끌다
leak,샘
lean,기대다
leap,껑충 뛰다
lease,임대차
leather,무두질한 가죽
leave,남기고가다
lecture,강의
legal,법률상의
legend,전설
legislate,법률을 제정하다
legitimate,합법의
leisure,틈
lend,빌리다
let,시키다
level,수평의
liberal,자유주의의
liberty,자유
license,면허
lid,뚜껑
lift,끌어올리다
likely,있을 법한
likewise,"같이, 마찬가지로"
limit,한계
linguistic,말의
link,사슬의 고리
liquid,액체
list,일람표
literal,문자의
literature,문학
load,짐
loan,대부
local,장소의
locate,관청 등을 두다
lock,자물쇠
log,통나무
logic,논리학
lone,혼자의
loose,풀어진
lose,잃다
loss,잃음
lot,제비
loud,시끄러운
lounge,빈둥거리다
loyal,충성스러운
lump,덩어리
luxury,사치
machine,기계
magazine,잡지
magnet,자석
magnificent,장대한
main,주요한
maintain,계속하다
major,큰쪽의
majority,대다수
male,남성의
manage,관리하다
manifest,명백히 하다
manipulate,(손으로)다루다
manner,방법
manufacture,제조하다
margin,가장자리
marine,바다의
mark,표
marvel,경이
mass,덩어리
master,장
match,성냥
mate,상대
material,원료
matter,물질
mature,익은
maximum,최고점
maybe,아마
mayor,시장
meal,식사
mean,의미하다
meantime,그동안 그 사이에
meanwhile,그동안
measure,재다
mechanic,직공
mechanism,(기계)장치
mediate,중재하다
medical,의학의
medicine,약
medieval,중세(풍)의
medium,중간
melt,녹다
mental,마음의
mention,말하다
merchant,상인
mere,단순한
merge,합병하다
merit,장점
mess,혼란
metal,금속
method,방법
metropolitan,수도권(의)
microphone,확성기
microwave,극초단파 전자레인지로 요리하다
migrate,이주하다
mild,온후한
military,군의
mill,멧돌
million,백만
miner,광산업자
mineral,광물
minimal,최소(한도)의
minimum,최소 한도
ministry,장관(목사)의 직(소임)
minor,작은 편의
minute,분
miracle,기적
missile,미사일
mission,사명
mistake,틀리다
mix,섞다
mobile,움직이기 쉬운
mock,조롱하다
mode,방법
moderate,절제하는
modern,현대의
modest,겸손한
modify,변경하다
moisture,습기
molecule,분자
moment,순간
monitor,충고자
monster,괴물
monument,기념비
mood,(일시적인)기분
moral,도덕의
moreover,그 위에
mortal,죽을운명의
motion,운동
motive,동기
mount,산
mud,진흙
multiple,복합의
multiply,늘리다
murder,살인
muscle,근육
mushroom,버섯
mutual,상호의
myth,신화
nail,손톱
naive,소박한
naked,발가벗은
nanny,유모
narrate,이야기하다
narrow,좁은
nasty,불쾌한
native,타고난
navy,해군(력)
neat,산뜻한
necessary,필요한
needle,바늘 바늘로 꿰매다 바느질하다 아슬아슬한
negative,부정적인
neglect,게을리 하다
negotiate,교섭하다
neighbor,이웃사람(나라)
neither,(둘중)어느쪽도 -아니다 -도 아니다
nephew,조카
nervous,신경의
nest,보금자리
net,그물
network,그물세공
neutral,중립의
nevertheless,그럼에도 불구하고
nightmare,악몽
noble,고귀한
nobody,아무도 -않다 하찮은 사람
nod,끄덕이다
noise,소리
nominate,추천하다
none,아무도(조금도)-않다 조금도(결코)-않다
nonetheless,역시
nonsense,허튼 소리
nor,~도 또한-않다
norm,표준
normal,표준(의)
notice,"통지, 통보"
notion,"n,관념"
novel,소설
nowadays,"오늘날에는, 요즈음에는"
nowhere,아무데도 …없다
nuclear,"핵의, 핵을 형성하는 원자핵의"
numerous,"다 수의, 수많은, 셀 수 없이 많은"
nun,수녀 집비둘기의 일종
nut,견과
oak,참나무
obey,따르다
object,사물
objective,객관적인
oblige,(의무를)별수없이 -하게하다
observe,관찰하다
obsess,늘러붙다
obtain,얻다
obvious,명백한
occasion,경우
occupation,일직업
occupy,차지하다
occur,일어나다
odd,묘한
offend,성나게 하다
offer,권하다
officer,공무원
official,공무원
olive,올리브나무
once,한번
operate,움직이다
opinion,의견
opportunity,기회
oppose,반대하다
optimist,낙천가
option,선택(권의 자유)
oral,구두의
orbit,궤도
orchestra,관현악단
order,순서
ordinary,보통의
organ,(생물의)기관
organic,유기체의
organize,조직하다
orient,동양 동양의 동쪽으로 향하게 하다
origin,기원
other,다른 다른 것 그렇지 않고
otherwise,딴 방법으로는
ought,au해야만 하다
ounce,삵괭이
outcome,결과
outline,윤곽
output,산출
outrage,불법(적인 행위)
outstanding,눈에 띄는
overall,포괄(전면)적인 덧옷
overcome,이기다
overhead,머리위에 머리 위의
overlap,겹치다
overlook,내려다 보다
overnight,전날밤의
oversea,해외(로부터)의
overwhelm,압도하다
owe,지불할 의무가 있다
own,자기자신의 소유하다
pace,한걸음
pack,꾸러미
packet,다발
pad,(및에)덧대는 것
pain,고통
pair,한쌍
pale,창백한
palm,손바닥
pan,남비 사금 등을 남비로 가려내다
panel,판벽널
panic,돌연한공포
paragraph,(문장의)절
parallel,평행의
pardon,용서하다 용서
parliament,의회
participate,참가하다
particle,입자
particular,특수한
passage,"통행, 통과"
passenger,승객
passion,정열
passport,여권
past,과거
pat,톡톡 가볍게 치다
patch,깁는 헝겊
patent,전매특허권 전매특허의
path,작은 길
patient,인내심이 강한 환자
patrol,순회
pattern,모범
pause,중지
pave,(도로를)포장하다
peak,(뾰족한)끝
peasant,농부
peel,껍질을 벗기다 벗어지다 껍질
peer,동료
penalty,벌
pepper,고추
per,~에 의하여
perceive,지각하다
perfect,완전한
perform,다하다
perhaps,아마
period,시간
permanent,영구의
permit,허가하다
persist,고집하다
person,사람
personality,개성
perspective,원근법의 원근 화법
persuade,설득하다
pet,애완동물
phase,국면
phenomenon,현상
philosophy,철학
photograph,사진 촬영하다
phrase,구
physical,물질의
physics,물리학
piece,한 조각
pile,쌓아 올린 것
pill,알약
pin,핀 핀으로 꽂다
pinch,꼬집다
pine,소나무 수척해 지다
pioneer,개척자
pitch,던지다
pity,불쌍히 여김
plain,분명한
planet,행성
plant,실물
plate,판
platform,단
pleasant,기분 좋은
pleasure,즐거움
plenty,많음
plot,음모
plus,더하기의 -외에
poem,시
poet,시인
poison,독
polar,남극의
pole,폴란드사람
policy,정책
polish,"닦다, 갈다, 윤내다"
polite,공손한
politics,정치
poll,투표
pollute,~을 더럽히다
pond,"못, 연못"
pool,판돈
pop,팝
pope,로마 교황  최고 권위자로 자처하는 사람
popular,"민중 의, 대중의"
population,인구
pork,돼지고기
port,"항구, 항만, 상항"
portion,"일부, 부분"
portrait,초상
pose,"자세, 포즈  마음가짐  꾸민 태도"
position,위치
positive,"명확한, 의문의 여지가 없는, 부정할 수 없는"
possess,소유하다
possible,가능한
post,기둥
poster,포스터
pot,단지
potential,가능한
pour,따르다
powder,가루
practical,실제의
practice,연습
praise,칭찬
pray,빌다
preach,설교하다
precede,~에 앞서다
precious,비싼
precise,정확한
predator,약탈자
predict,"예언하다, 예보하다 예언하다"
prefer,"오히려 …을 좋아하다,"
pregnant,임신한 충만한
prejudice,"편견, 선입관"
premier,"국무 총리, 수상"
premium,"할증금,  액면 초과액, 프리미엄"
prepare,"준비하 다, 마련하다, 채비를 갖추다"
prescribe,"명령하다, 지령하다"
presence,"존재, 현존, 실재  출석, 임석, 참석"
preserve,"보호하다, 지키다"
president,대통령 회장
press,강제로 모집하다
presume,가정하다
pretend,핑계삼다
prevail,"이기다, 극복하다, 압도하다 우세하다, 보급되다"
prevent,"막다, 방해하다"
previous,"앞의, 이전의"
prey,먹이
price,"값, 가격, 대가, 정가"
pride,자존심
priest,성직자
primary,"첫째의, 제1위의, 수위의 초등의, 초보의"
prime,"수위의, 최초의, 원시적인"
primitive,"원시의, 초기의"
principal,"주요한, 주된, 제일의, 앞장서는"
principle,"원리, 원칙, 법칙, 공리"
prior,"이전의, 앞의"
prison,교도소
privacy,"남의 눈을 피함, 은거, 은둔, 은퇴 생활 사생활"
private,"사적인, 사사로운, 개인에 속한"
privilege,"특권, 특전, 특별 취급"
probably,"아마, 십중팔구"
procedure,"진행, 경과 절차"
proceed,"나아가다, 가다"
process,"진행, 작용"
produce,"생산하다, 산출하다, 생기게 하다,"
profession,"직업 공언, 선언, 고백"
professor,교수
profile,"옆 얼굴, 반면상 인물 소개  태도, 자세"
profit,"이익, 이득, 벌이"
profound,"깊은, 심원한"
progress,"진행, 전진, 진척  진보, 향상, 발달, 발전"
prohibit,"금하다, 금지하다"
prominent,"두드러진, 돌기한, 양각된 현저한, 탁월한, 중요한"
promise,"약속, 서약, 계약"
promote,"승진시키다 진행시키다,"
prompt,"재빠른, 신속한, 즉시 …하는"
pronounce,"발음하다, 음독하다"
proof,증명
proper,"고유의, 독특한, 본연의,  특유한"
property,"재산, 자산"
proportion,"비율, 비 균형, 조화"
propose,"제의하다, 제출하다 추천하다, 지명하다"
prospect,"전망, 조망, 경치"
prosper,번영하다
protect,"보호하다, 막다, 지키다, 비호하다"
protein,IG1s
protest,단언하다
proud,"뽐내는, 자랑하는 자긍하는, 영광 으로 여기는"
prove,"시험하다, 실험하다, 경험하다, 시험해 보다"
provide,"준비하다, 미리 …에 대비하다  규정하다"
province,"주, 성, 도  범위, 영역, 분야"
provoke,화나게 하다
psychology,심리학
pub,펍
public,"심리, 심리 상태"
publish,"발표 하다, 널리 알리다"
